,data_date,rec_count
253,2014-11-03,175
254,2014-11-10,194
255,2014-11-17,175
256,2014-11-24,166
257,2014-12-01,202
258,2014-12-08,202
259,2014-12-15,196
260,2014-12-22,161
261,2014-12-29,178
262,2015-01-05,207
263,2015-01-12,194
264,2015-01-19,218
265,2015-01-26,203
266,2015-02-02,185
267,2015-02-09,215
268,2015-02-16,190
269,2015-02-23,203
270,2015-03-02,188
271,2015-03-09,189
272,2015-03-16,189
273,2015-03-23,211
274,2015-03-30,191
275,2015-04-06,236
276,2015-04-13,223
277,2015-04-20,206
278,2015-04-27,186
279,2015-05-04,200
280,2015-05-11,224
281,2015-05-18,237
282,2015-05-25,216
283,2015-06-01,219
284,2015-06-08,201
285,2015-06-15,213
286,2015-06-22,191
287,2015-06-29,217
288,2015-07-06,221
289,2015-07-13,197
290,2015-07-20,222
291,2015-07-27,198
292,2015-08-03,208
293,2015-08-10,219
294,2015-08-17,220
295,2015-08-24,209
296,2015-08-31,234
297,2015-09-07,207
298,2015-09-14,214
299,2015-09-21,170
300,2015-09-28,207
301,2015-10-05,218
302,2015-10-12,217
303,2015-10-19,160
304,2015-10-26,208
305,2015-11-02,212
306,2015-11-09,173
307,2015-11-16,205
308,2015-11-23,194
309,2015-11-30,197
310,2015-12-07,232
311,2015-12-14,220
312,2015-12-21,192
313,2015-12-28,194
314,2016-01-04,222
315,2016-01-11,235
316,2016-01-18,197
317,2016-01-25,228
318,2016-02-01,200
319,2016-02-08,201
320,2016-02-15,205
321,2016-02-22,224
322,2016-02-29,213
323,2016-03-07,233
324,2016-03-14,257
325,2016-03-21,147
326,2016-03-28,227
327,2016-04-04,232
328,2016-04-11,223
329,2016-04-18,215
330,2016-04-25,218
331,2016-05-02,230
332,2016-05-09,216
333,2016-05-16,206
334,2016-05-23,247
335,2016-05-30,247
336,2016-06-06,251
337,2016-06-13,227
338,2016-06-20,233
339,2016-06-27,218
340,2016-07-04,180
341,2016-07-11,220
342,2016-07-18,230
343,2016-07-25,247
344,2016-08-01,222
345,2016-08-08,211
346,2016-08-15,188
347,2016-08-22,208
348,2016-08-29,196
349,2016-09-05,286
350,2016-09-12,226
351,2016-09-19,260
352,2016-09-26,237
353,2016-10-03,247
354,2016-10-10,262
355,2016-10-17,256
356,2016-10-24,247
357,2016-10-31,257
358,2016-11-07,243
359,2016-11-14,220
360,2016-11-21,245
361,2016-11-28,255
362,2016-12-05,190
363,2016-12-12,224
364,2016-12-19,255
365,2016-12-26,259
366,2017-01-02,254
367,2017-01-09,257
368,2017-01-16,228
369,2017-01-23,218
370,2017-01-30,252
371,2017-02-06,253
372,2017-02-13,257
373,2017-02-20,237
374,2017-02-27,247
375,2017-03-06,254
376,2017-03-13,207
377,2017-03-20,242
378,2017-03-27,220
379,2017-04-03,218
380,2017-04-10,213
381,2017-04-17,257
382,2017-04-24,232
383,2017-05-01,270
384,2017-05-08,220
385,2017-05-15,223
386,2017-05-22,284
387,2017-05-29,264
388,2017-06-05,251
389,2017-06-12,288
390,2017-06-19,194
391,2017-06-26,243
392,2017-07-03,228
393,2017-07-10,237
394,2017-07-17,254
395,2017-07-24,236
396,2017-07-31,239
397,2017-08-07,224
398,2017-08-14,206
399,2017-08-21,244
400,2017-08-28,259
401,2017-09-04,245
402,2017-09-11,255
403,2017-09-18,219
404,2017-09-25,211
405,2017-10-02,212
406,2017-10-09,208
407,2017-10-16,178
408,2017-10-23,242
409,2017-10-30,229
410,2017-11-06,211
411,2017-11-13,225
412,2017-11-20,225
413,2017-11-27,229
414,2017-12-04,262
415,2017-12-11,246
416,2017-12-18,207
417,2017-12-25,212
418,2018-01-01,227
419,2018-01-08,221
420,2018-01-15,231
421,2018-01-22,223
422,2018-01-29,256
423,2018-02-05,246
424,2018-02-12,209
425,2018-02-19,237
426,2018-02-26,201
427,2018-03-05,246
428,2018-03-12,262
429,2018-03-19,266
430,2018-03-26,241
431,2018-04-02,266
432,2018-04-09,249
433,2018-04-16,277
434,2018-04-23,238
435,2018-04-30,212
436,2018-05-07,256
437,2018-05-14,245
438,2018-05-21,231
439,2018-05-28,245
440,2018-06-04,247
441,2018-06-11,228
442,2018-06-18,187
443,2018-06-25,209
444,2018-07-02,224
445,2018-07-09,210
446,2018-07-16,224
447,2018-07-23,216
448,2018-07-30,245
449,2018-08-06,275
450,2018-08-13,229
451,2018-08-20,201
452,2018-08-27,221
453,2018-09-03,232
454,2018-09-10,224
455,2018-09-17,209
456,2018-09-24,184
457,2018-10-01,177
458,2018-10-08,209
459,2018-10-15,195
460,2018-10-22,211
461,2018-10-29,236
462,2018-11-05,160
463,2018-11-12,249
464,2018-11-19,208
465,2018-11-26,207
466,2018-12-03,249
467,2018-12-10,222
468,2018-12-17,174
469,2018-12-24,182
470,2018-12-31,171
471,2019-01-07,210
472,2019-01-14,208
473,2019-01-21,201
474,2019-01-28,181
475,2019-02-04,184
476,2019-02-11,197
477,2019-02-18,211
478,2019-02-25,210
479,2019-03-04,208
480,2019-03-11,208
481,2019-03-18,173
482,2019-03-25,216
483,2019-04-01,247
484,2019-04-08,214
485,2019-04-15,183
486,2019-04-22,222
487,2019-04-29,235
488,2019-05-06,245
489,2019-05-13,191
490,2019-05-20,223
491,2019-05-27,141
